Player,Team,Pos,Age,Standard_Gls,Standard_Ast,Standard_xG,Standard_xAG,Transfer_Value,Transfer_Value_Str
Aaron Cresswell,West Ham,DF,34,0,0,0.2,1.3,8.7696,EUR 8.8M
Aaron Ramsdale,Southampton,GK,26,0,0,0.0,0.0,6.6000000000000005,EUR 6.6M
Aaron Wan-Bissaka,West Ham,DF,26,2,5,1.2,3.5,12.270719999999999,EUR 12.3M
Abdoulaye Doucouré,Everton,MF,31,3,2,4.1,2.4,13.513499999999999,EUR 13.5M
Abdukodir Khusanov,Manchester City,DF,20,0,0,0.0,0.1,12.011999999999999,EUR 12.0M
Abdul Fatawu Issahaku,Leicester City,FW,20,0,2,0.4,1.6,23.625,EUR 23.6M
Adam Armstrong,Southampton,"FW,MF",27,2,2,3.3,1.2,21.57525,EUR 21.6M
Adam Lallana,Southampton,MF,36,0,2,0.2,0.9,10.618199999999998,EUR 10.6M
Adam Smith,Bournemouth,DF,33,0,0,0.7,0.4,8.977679999999998,EUR 9.0M
Adam Webster,Brighton,DF,29,0,0,0.2,0.5,9.908879999999998,EUR 9.9M
Adam Wharton,Crystal Palace,MF,20,0,2,0.4,3.0,15.96,EUR 16.0M
Adama Traoré,Fulham,"FW,MF",28,2,7,4.0,4.9,23.322599999999998,EUR 23.3M
Albert Grønbaek,Southampton,"FW,MF",23,0,0,0.1,0.0,21.171149999999997,EUR 21.2M
Alejandro Garnacho,Manchester Utd,"MF,FW",20,6,2,7.3,4.5,28.53,EUR 28.5M
Alex Iwobi,Fulham,"FW,MF",28,9,6,4.7,7.0,26.214299999999998,EUR 26.2M
Alex McCarthy,Southampton,GK,34,0,0,0.0,0.0,5.4,EUR 5.4M
Alex Palmer,Ipswich Town,GK,27,0,0,0.0,0.0,6.45,EUR 6.5M
Alex Scott,Bournemouth,MF,20,0,0,0.7,0.9,15.24,EUR 15.2M
Alexander Isak,Newcastle Utd,FW,24,23,6,20.3,4.3,37.1772,EUR 37.2M
Alexis Mac Allister,Liverpool,MF,25,5,5,2.8,4.7,16.875,EUR 16.9M
Ali Al Hamadi,Ipswich Town,FW,22,0,0,0.4,0.1,21.707999999999995,EUR 21.7M
Alisson,Liverpool,GK,31,0,0,0.0,0.6,5.8850999999999996,EUR 5.9M
Alphonse Areola,West Ham,GK,31,0,0,0.0,0.0,5.85,EUR 5.8M
Altay Bayındır,Manchester Utd,GK,26,0,0,0.0,0.0,6.6000000000000005,EUR 6.6M
Amad Diallo,Manchester Utd,"MF,FW",22,8,6,4.7,4.9,29.0736,EUR 29.1M
Amadou Onana,Aston Villa,MF,22,3,0,2.1,0.7,15.6672,EUR 15.7M
Andreas Pereira,Fulham,MF,28,2,4,3.8,4.6,14.918399999999998,EUR 14.9M
Andrew Robertson,Liverpool,DF,30,0,1,1.2,4.6,10.300799999999999,EUR 10.3M
André,Wolves,MF,23,0,0,0.4,0.8,14.2692,EUR 14.3M
André Onana,Manchester Utd,GK,28,0,0,0.0,0.2,6.3126,EUR 6.3M
Andrés García,Aston Villa,"DF,MF",21,0,0,0.0,0.2,14.7294,EUR 14.7M
Andy Irving,West Ham,MF,24,0,0,0.1,0.2,13.841399999999997,EUR 13.8M
Anthony Elanga,Nott'ham Forest,"FW,MF",22,6,11,4.5,5.7,29.959199999999996,EUR 30.0M
Anthony Gordon,Newcastle Utd,"FW,MF",23,6,5,8.0,5.0,28.023749999999996,EUR 28.0M
Antoine Semenyo,Bournemouth,FW,24,11,5,10.0,5.8,30.0771,EUR 30.1M
Antonee Robinson,Fulham,DF,26,0,10,0.7,4.2,12.66144,EUR 12.7M
Antony,Manchester Utd,"DF,MF",24,0,0,1.0,0.1,13.951799999999997,EUR 14.0M
Antonín Kinský,Tottenham,GK,21,0,0,0.0,0.1,7.3573499999999985,EUR 7.4M
Archie Gray,Tottenham,"DF,MF",18,0,0,0.0,0.1,15.6156,EUR 15.6M
Arijanet Muric,Ipswich Town,GK,25,0,0,0.0,0.0,6.75,EUR 6.8M
Armando Broja,Everton,FW,22,0,0,0.1,0.2,21.664799999999996,EUR 21.7M
Armel Bella Kotchap,Southampton,DF,22,0,0,0.3,0.0,11.554559999999999,EUR 11.6M
Ashley Young,Everton,DF,39,1,3,0.3,2.3,8.11704,EUR 8.1M
Axel Disasi,Chelsea,DF,26,1,0,0.3,0.1,10.81344,EUR 10.8M
Axel Tuanzebe,Ipswich Town,DF,26,0,1,0.2,0.3,10.7712,EUR 10.8M
Ayden Heaven,Manchester Utd,DF,17,0,0,0.1,0.0,12.732719999999999,EUR 12.7M
Bart Verbruggen,Brighton,GK,21,0,1,0.0,0.0,7.4602499999999985,EUR 7.5M
Ben Brereton,Southampton,FW,25,0,0,0.9,0.1,20.4525,EUR 20.5M
Ben Chilwell,Crystal Palace,DF,27,1,0,0.2,0.8,10.6296,EUR 10.6M
Ben Davies,Tottenham,DF,31,0,0,0.3,0.2,9.406799999999999,EUR 9.4M
Ben Godfrey,Ipswich Town,DF,26,0,0,0.0,0.0,10.56,EUR 10.6M
Ben Johnson,Ipswich Town,"DF,FW",24,1,2,1.1,1.3,22.2318,EUR 22.2M
Ben Mee,Brentford,DF,34,0,0,0.0,0.0,8.64,EUR 8.6M
Ben White,Arsenal,DF,26,0,2,0.5,1.4,11.07744,EUR 11.1M
Benoît Badiashile,Chelsea,DF,23,0,0,0.0,0.0,11.28,EUR 11.3M
Bernardo Silva,Manchester City,"MF,FW",29,4,4,3.9,5.1,22.6935,EUR 22.7M
Bernd Leno,Fulham,GK,32,0,1,0.0,0.1,5.791200000000001,EUR 5.8M
Beto,Everton,FW,26,8,0,8.2,1.2,24.8292,EUR 24.8M
Bilal El Khannouss,Leicester City,"MF,FW",20,2,3,1.3,4.6,25.74,EUR 25.7M
Billy Gilmour,Brighton,MF,23,0,0,0.1,0.0,14.114099999999999,EUR 14.1M
Bobby De Cordova-Reid,Leicester City,FW,31,1,2,0.8,1.2,18.778499999999998,EUR 18.8M
Boubacar Kamara,Aston Villa,MF,24,1,0,0.8,0.9,14.310599999999997,EUR 14.3M
Boubakary Soumaré,Leicester City,MF,25,0,0,0.3,0.4,13.594499999999998,EUR 13.6M
Brajan Gruda,Brighton,"MF,FW",20,1,4,1.2,2.1,25.0425,EUR 25.0M
Brennan Johnson,Tottenham,FW,23,11,3,10.4,2.3,29.440799999999996,EUR 29.4M
Bruno Fernandes,Manchester Utd,MF,29,8,10,9.9,8.5,18.3762,EUR 18.4M
Bruno Guimarães,Newcastle Utd,MF,26,5,6,4.3,6.1,17.080800000000004,EUR 17.1M
Bryan Mbeumo,Brentford,FW,24,20,7,12.3,8.3,35.4177,EUR 35.4M
Bukayo Saka,Arsenal,"FW,MF",22,6,10,6.8,7.6,30.5424,EUR 30.5M
Caleb Okoli,Leicester City,DF,23,1,0,0.6,0.0,11.57328,EUR 11.6M
Callum Hudson-Odoi,Nott'ham Forest,"FW,MF",23,5,2,2.5,2.7,24.999299999999998,EUR 25.0M
Callum Wilson,Newcastle Utd,FW,32,0,0,0.4,0.1,17.1855,EUR 17.2M
Calvin Bassey,Fulham,DF,24,1,0,1.0,0.1,11.382239999999998,EUR 11.4M
Cameron Archer,Southampton,FW,23,2,0,5.7,0.5,23.3073,EUR 23.3M
Cameron Burgess,Ipswich Town,DF,28,0,2,1.1,0.5,10.54368,EUR 10.5M
Caoimhín Kelleher,Liverpool,GK,25,0,0,0.0,0.0,6.75,EUR 6.8M
Carlos Alcaraz,Everton,"FW,MF",21,2,3,1.7,1.6,24.651900000000005,EUR 24.7M
Carlos Baleba,Brighton,MF,20,3,1,3.1,1.3,16.785,EUR 16.8M
Carlos Forbs,Wolves,"MF,FW",20,0,0,0.1,0.0,22.522499999999997,EUR 22.5M
Carlos Soler,West Ham,"MF,FW",27,1,1,1.8,1.4,20.64645,EUR 20.6M
Casemiro,Manchester Utd,MF,32,1,0,1.9,2.3,12.106800000000003,EUR 12.1M
Charlie Taylor,Southampton,DF,30,0,0,0.0,0.1,9.609599999999999,EUR 9.6M
Cheick Doucouré,Crystal Palace,MF,24,0,0,0.4,0.0,13.855199999999998,EUR 13.9M
Chidozie Obi-Martin,Manchester Utd,FW,16,0,0,0.7,0.0,24.4701,EUR 24.5M
Chiedozie Ogbene,Ipswich Town,FW,27,0,0,0.0,0.1,19.36935,EUR 19.4M
Chris Richards,Crystal Palace,DF,24,1,0,1.4,0.1,11.426399999999997,EUR 11.4M
Chris Wood,Nott'ham Forest,FW,32,20,3,13.4,2.6,27.445500000000003,EUR 27.4M
Christian Eriksen,Manchester Utd,MF,32,1,2,1.4,3.2,12.494400000000004,EUR 12.5M
Christian Nørgaard,Brentford,MF,30,5,4,4.3,1.3,14.591999999999999,EUR 14.6M
Christian Walton,Ipswich Town,GK,28,0,0,0.0,0.0,6.3,EUR 6.3M
Christopher Nkunku,Chelsea,FW,26,3,2,4.8,2.1,22.9482,EUR 22.9M
Cody Gakpo,Liverpool,FW,25,10,4,7.1,4.4,27.84375,EUR 27.8M
Cole Palmer,Chelsea,"MF,FW",22,15,8,17.3,10.9,36.7632,EUR 36.8M
Conor Bradley,Liverpool,DF,21,0,2,0.7,1.4,12.35976,EUR 12.4M
Conor Chaplin,Ipswich Town,"MF,FW",27,1,1,1.5,0.7,20.45295,EUR 20.5M
Conor Coady,Leicester City,DF,31,1,0,0.4,0.1,9.594,EUR 9.6M
Conor Townsend,Ipswich Town,DF,31,0,1,0.0,0.7,9.56592,EUR 9.6M
Craig Dawson,Wolves,DF,34,0,0,0.5,0.0,8.6832,EUR 8.7M
Cristian Romero,Tottenham,DF,26,1,0,1.6,0.6,11.003520000000002,EUR 11.0M
Crysencio Summerville,West Ham,"FW,MF",22,1,1,1.6,1.7,23.0688,EUR 23.1M
Curtis Jones,Liverpool,"MF,DF",23,3,3,4.3,1.1,16.3419,EUR 16.3M
Daichi Kamada,Crystal Palace,MF,27,0,0,1.1,1.9,13.287,EUR 13.3M
Dan Burn,Newcastle Utd,DF,32,1,1,2.0,0.9,9.703680000000002,EUR 9.7M
Dango Ouattara,Bournemouth,FW,22,7,4,8.4,5.5,28.922399999999996,EUR 28.9M
Daniel Bentley,Wolves,GK,31,0,0,0.0,0.0,5.85,EUR 5.8M
Daniel Jebbison,Bournemouth,FW,20,1,0,1.0,0.2,23.22,EUR 23.2M
Daniel Muñoz,Crystal Palace,DF,28,4,5,4.9,5.5,12.690719999999999,EUR 12.7M
Danilo,Nott'ham Forest,"MF,FW",23,0,0,0.0,0.0,21.15,EUR 21.1M
Danny Ings,West Ham,"FW,MF",32,1,2,2.3,1.3,18.570600000000002,EUR 18.6M
Danny Ward,Leicester City,GK,31,0,0,0.0,0.0,5.85,EUR 5.8M
Danny Welbeck,Brighton,FW,33,10,4,9.6,1.4,22.8105,EUR 22.8M
Dara O'Shea,Ipswich Town,DF,25,0,2,1.3,0.5,11.3184,EUR 11.3M
Darwin Núñez,Liverpool,FW,25,5,2,5.8,1.3,24.32025,EUR 24.3M
David Brooks,Bournemouth,"FW,MF",27,2,0,2.5,1.9,20.975400000000004,EUR 21.0M
David Raya,Arsenal,GK,28,0,0,0.0,0.0,6.3,EUR 6.3M
Dean Henderson,Crystal Palace,GK,27,0,0,0.0,0.2,6.4629,EUR 6.5M
Dean Huijsen,Bournemouth,DF,19,3,2,1.9,2.0,13.81896,EUR 13.8M
Declan Rice,Arsenal,MF,25,4,7,3.5,6.6,17.361,EUR 17.4M
Dejan Kulusevski,Tottenham,"MF,FW",24,7,4,4.2,6.2,26.9928,EUR 27.0M
Destiny Udogie,Tottenham,DF,21,0,1,0.3,1.5,12.148079999999998,EUR 12.1M
Diego Carlos,Aston Villa,DF,31,0,0,0.6,0.0,9.41616,EUR 9.4M
Diego Gómez,Brighton,MF,21,1,0,0.9,0.7,15.2292,EUR 15.2M
Diogo Dalot,Manchester Utd,DF,25,0,3,2.0,2.0,11.718,EUR 11.7M
Diogo Jota,Liverpool,FW,27,6,3,7.9,1.8,24.419700000000002,EUR 24.4M
Djed Spence,Tottenham,DF,23,1,2,0.6,1.8,12.11472,EUR 12.1M
Dominic Calvert-Lewin,Everton,FW,27,3,1,6.7,0.6,22.213800000000003,EUR 22.2M
Dominic Solanke,Tottenham,FW,26,9,3,10.9,2.9,26.9874,EUR 27.0M
Dominik Szoboszlai,Liverpool,MF,23,6,6,7.3,7.4,19.1337,EUR 19.1M
Donyell Malen,Aston Villa,FW,25,3,0,2.2,0.2,21.951,EUR 22.0M
Dwight McNeil,Everton,"MF,FW",24,4,6,1.1,5.2,25.5231,EUR 25.5M
Eberechi Eze,Crystal Palace,"MF,FW",26,8,8,10.5,6.2,28.6506,EUR 28.7M
Eddie Nketiah,Crystal Palace,"FW,MF",25,3,1,5.8,1.7,23.287499999999998,EUR 23.3M
Ederson,Manchester City,GK,30,0,4,0.0,1.5,6.449999999999999,EUR 6.4M
Edmond-Paris Maghoma,Brentford,"MF,FW",23,0,0,0.1,0.1,21.1923,EUR 21.2M
Edson Álvarez,West Ham,MF,26,0,1,0.4,0.8,13.5564,EUR 13.6M
Elliot Anderson,Nott'ham Forest,MF,21,2,6,2.1,3.3,17.404799999999998,EUR 17.4M
Emerson Palmieri,West Ham,DF,29,2,1,2.0,1.5,10.7256,EUR 10.7M
Emi Buendía,Aston Villa,"MF,FW",27,0,0,0.7,0.0,19.48545,EUR 19.5M
Emil Krafth,Newcastle Utd,DF,29,0,0,0.0,0.1,9.849839999999999,EUR 9.8M
Emile Smith Rowe,Fulham,MF,24,6,3,4.5,1.4,16.891199999999998,EUR 16.9M
Emiliano Martínez,Aston Villa,GK,31,0,0,0.0,0.5,5.879249999999999,EUR 5.9M
Emmanuel Agbadou,Wolves,DF,27,1,0,0.8,0.2,10.6296,EUR 10.6M
Enes Ünal,Bournemouth,"FW,MF",27,2,1,2.7,0.4,21.014100000000003,EUR 21.0M
Enzo Fernández,Chelsea,MF,23,6,7,6.1,6.8,19.0914,EUR 19.1M
Erling Haaland,Manchester City,FW,24,22,3,22.0,3.0,35.914500000000004,EUR 35.9M
Ethan Nwaneri,Arsenal,"FW,MF",17,4,2,1.2,1.2,27.045900000000003,EUR 27.0M
Ethan Pinnock,Brentford,DF,31,2,0,1.1,1.2,9.949679999999999,EUR 9.9M
Evan Ferguson,Brighton,FW,19,1,0,0.5,0.4,23.61555,EUR 23.6M
Evanilson,Bournemouth,FW,24,10,1,12.5,1.9,28.1313,EUR 28.1M
Ezri Konsa,Aston Villa,DF,26,2,0,1.3,0.4,11.16192,EUR 11.2M
Fabian Schär,Newcastle Utd,DF,32,4,0,3.7,0.4,10.22352,EUR 10.2M
Fabio Carvalho,Brentford,"FW,MF",21,2,1,2.5,0.7,23.96835,EUR 24.0M
Facundo Buonanotte,Leicester City,"FW,MF",19,5,2,3.9,3.1,27.54,EUR 27.5M
Federico Chiesa,Liverpool,FW,26,0,0,0.3,0.2,19.898999999999997,EUR 19.9M
Ferdi Kadioglu,Brighton,"DF,MF",24,1,0,0.4,0.2,14.1588,EUR 14.2M
Filip Jørgensen,Chelsea,GK,22,0,0,0.0,0.0,7.199999999999999,EUR 7.2M
Flynn Downes,Southampton,MF,25,1,0,0.6,1.1,13.9995,EUR 14.0M
Fraser Forster,Tottenham,GK,36,0,0,0.0,0.0,5.1,EUR 5.1M
Gabriel Jesus,Arsenal,FW,27,3,0,3.0,0.7,21.226950000000002,EUR 21.2M
Gabriel Magalhães,Arsenal,DF,26,3,1,2.6,0.9,11.721600000000002,EUR 11.7M
Gabriel Martinelli,Arsenal,"FW,MF",23,8,4,7.4,5.0,28.4256,EUR 28.4M
George Hirst,Ipswich Town,FW,25,3,1,2.1,0.3,22.254749999999998,EUR 22.3M
Georginio Rutter,Brighton,"MF,FW",22,5,3,4.6,2.5,26.265599999999996,EUR 26.3M
Gonçalo Guedes,Wolves,"MF,FW",27,2,4,3.2,1.3,22.15575,EUR 22.2M
Guglielmo Vicario,Tottenham,GK,27,0,0,0.0,0.0,6.45,EUR 6.5M
Guido Rodríguez,West Ham,MF,30,0,1,0.2,0.2,12.227999999999998,EUR 12.2M
Hamza Choudhury,Leicester City,"MF,DF",26,0,0,0.0,0.4,13.2528,EUR 13.3M
Harrison Reed,Fulham,MF,29,0,0,0.2,0.1,12.3369,EUR 12.3M
Harry Amass,Manchester Utd,DF,17,0,0,0.1,0.0,12.732719999999999,EUR 12.7M
Harry Clarke,Ipswich Town,DF,23,0,0,0.1,0.0,11.291279999999999,EUR 11.3M
Harry Maguire,Manchester Utd,DF,31,1,0,1.8,0.6,9.77184,EUR 9.8M
Harry Toffolo,Nott'ham Forest,DF,28,0,0,0.0,0.0,10.08,EUR 10.1M
Harry Wilson,Fulham,"FW,MF",27,6,1,4.2,1.1,22.9878,EUR 23.0M
Harry Winks,Leicester City,MF,28,0,2,0.2,1.2,13.1544,EUR 13.2M
Harvey Barnes,Newcastle Utd,FW,26,9,4,7.2,4.0,26.769599999999997,EUR 26.8M
Harvey Elliott,Liverpool,MF,21,1,2,1.8,1.1,15.861299999999998,EUR 15.9M
Hwang Hee-chan,Wolves,"MF,FW",28,2,0,0.8,0.1,19.826099999999997,EUR 19.8M
Hákon Valdimarsson,Brentford,GK,22,0,0,0.0,0.0,7.199999999999999,EUR 7.2M
Ian Maatsen,Aston Villa,DF,22,1,2,0.9,2.7,12.510720000000001,EUR 12.5M
Ibrahim Sangaré,Nott'ham Forest,MF,26,0,1,0.0,0.4,13.4508,EUR 13.5M
Ibrahima Konaté,Liverpool,DF,25,1,2,1.7,1.0,11.6316,EUR 11.6M
Idrissa Gana Gueye,Everton,MF,34,0,3,1.1,1.7,11.5884,EUR 11.6M
Igor,Brighton,DF,26,0,0,0.0,0.2,10.58112,EUR 10.6M
Iliman Ndiaye,Everton,FW,24,9,0,6.2,1.9,26.102700000000002,EUR 26.1M
Illia Zabarnyi,Bournemouth,DF,21,0,1,1.3,0.7,12.171599999999998,EUR 12.2M
Ismaila Sarr,Crystal Palace,MF,26,8,6,10.7,8.5,19.0344,EUR 19.0M
Issa Diop,Fulham,DF,27,0,0,0.5,0.1,10.381920000000001,EUR 10.4M
Jack Clarke,Ipswich Town,"FW,MF",23,0,4,1.2,2.3,23.159249999999997,EUR 23.2M
Jack Grealish,Manchester City,"FW,MF",28,1,1,1.1,1.8,20.1096,EUR 20.1M
Jack Harrison,Everton,FW,27,1,0,3.5,3.7,21.130200000000002,EUR 21.1M
Jack Hinshelwood,Brighton,"MF,DF",19,5,2,2.7,1.5,17.9316,EUR 17.9M
Jack Stephens,Southampton,DF,30,1,0,0.6,0.2,9.8688,EUR 9.9M
Jack Taylor,Ipswich Town,MF,26,1,0,0.7,0.5,13.6224,EUR 13.6M
Jacob Greaves,Ipswich Town,DF,23,1,0,1.3,0.3,11.68608,EUR 11.7M
Jacob Murphy,Newcastle Utd,FW,29,8,12,5.7,8.9,27.4167,EUR 27.4M
Jacob Ramsey,Aston Villa,"FW,MF",23,1,3,1.6,2.3,23.3496,EUR 23.3M
Jaden Philogene Bidace,Ipswich Town,"FW,DF",22,2,0,2.0,0.2,22.9392,EUR 22.9M
Jadon Sancho,Chelsea,FW,24,3,4,2.2,3.7,24.4053,EUR 24.4M
Jahmai Simpson-Pusey,Manchester City,DF,18,0,0,0.0,0.0,12.48,EUR 12.5M
Jake O'Brien,Everton,DF,23,2,0,0.8,0.6,11.88912,EUR 11.9M
Jakub Kiwior,Arsenal,DF,24,1,0,0.2,0.3,11.315999999999999,EUR 11.3M
Jakub Stolarczyk,Leicester City,GK,23,0,0,0.0,0.0,7.05,EUR 7.0M
James Bree,Southampton,DF,26,0,1,0.1,0.9,10.824,EUR 10.8M
James Garner,Everton,"MF,DF",23,0,1,0.7,1.4,14.6076,EUR 14.6M
James Hill,Bournemouth,DF,22,0,1,0.3,0.3,11.761919999999998,EUR 11.8M
James Justin,Leicester City,DF,26,2,2,1.5,0.8,11.54208,EUR 11.5M
James Maddison,Tottenham,MF,27,9,7,5.8,4.2,17.866500000000002,EUR 17.9M
James Mcatee,Manchester City,"MF,FW",21,3,0,2.8,0.5,24.10065,EUR 24.1M
James Milner,Brighton,MF,38,0,0,0.2,0.2,9.638399999999999,EUR 9.6M
James Tarkowski,Everton,DF,31,1,1,1.3,2.9,10.08072,EUR 10.1M
James Ward-Prowse,Nott'ham Forest,MF,29,0,1,0.1,1.1,12.6321,EUR 12.6M
Jamie Vardy,Leicester City,FW,37,9,4,11.2,3.0,20.522699999999997,EUR 20.5M
Jan Bednarek,Southampton,DF,28,2,0,0.7,0.5,10.60416,EUR 10.6M
Jan Paul van Hecke,Brighton,DF,24,1,1,1.3,1.5,11.73552,EUR 11.7M
Jannik Vestergaard,Leicester City,DF,31,0,0,0.1,0.1,9.37872,EUR 9.4M
Jarell Quansah,Liverpool,DF,21,0,0,0.1,0.1,11.78352,EUR 11.8M
Jarrad Branthwaite,Everton,DF,22,0,1,1.2,0.7,11.91168,EUR 11.9M
Jarrod Bowen,West Ham,"FW,MF",27,13,8,8.6,6.8,29.682900000000004,EUR 29.7M
Jason Steele,Brighton,GK,33,0,0,0.0,0.0,5.549999999999999,EUR 5.5M
Jay Robinson,Southampton,"MF,FW",17,0,0,0.0,0.7,24.016949999999998,EUR 24.0M
Jean-Clair Todibo,West Ham,DF,24,0,0,0.4,0.0,11.084159999999999,EUR 11.1M
Jean-Philippe Mateta,Crystal Palace,FW,27,14,2,13.5,3.2,28.579950000000004,EUR 28.6M
Jean-Ricner Bellegarde,Wolves,"MF,FW",26,2,7,1.5,3.8,23.7204,EUR 23.7M
Jefferson Lerma,Crystal Palace,"MF,DF",29,0,1,1.1,1.6,12.816600000000001,EUR 12.8M
Jeffrey Schlupp,Crystal Palace,"MF,DF",31,0,0,0.2,0.2,11.746799999999999,EUR 11.7M
Jens Cajuste,Ipswich Town,MF,24,1,1,0.7,0.8,14.49,EUR 14.5M
Jeremy Doku,Manchester City,"FW,MF",22,3,6,1.3,4.8,26.1576,EUR 26.2M
Jeremy Monga,Leicester City,"FW,MF",15,0,0,0.2,0.0,24.7995,EUR 24.8M
Jesper Lindstrøm,Everton,FW,24,0,1,2.1,2.0,21.8592,EUR 21.9M
Joachim Andersen,Fulham,DF,28,0,0,1.0,0.5,10.2312,EUR 10.2M
Joe Aribo,Southampton,"MF,DF",28,3,0,2.7,1.6,13.8978,EUR 13.9M
Joe Gomez,Liverpool,DF,27,0,0,0.3,0.1,10.36128,EUR 10.4M
Joe Lumley,Southampton,GK,29,0,0,0.0,0.0,6.15,EUR 6.2M
Joe Willock,Newcastle Utd,"MF,FW",24,0,2,1.6,2.1,22.086899999999996,EUR 22.1M
Joelinton,Newcastle Utd,"MF,FW",27,4,3,3.9,2.5,23.007150000000003,EUR 23.0M
John McGinn,Aston Villa,"MF,FW",29,1,4,3.1,3.5,21.1437,EUR 21.1M
John Stones,Manchester City,"DF,MF",30,2,0,0.4,0.1,12.54,EUR 12.5M
Jonny Evans,Manchester Utd,DF,36,0,0,0.1,0.0,8.168159999999999,EUR 8.2M
Jordan Ayew,Leicester City,"FW,MF",32,5,0,3.2,1.1,19.5453,EUR 19.5M
Jordan Pickford,Everton,GK,30,0,1,0.0,0.4,6.113999999999999,EUR 6.1M
Jorge Cuenca,Fulham,DF,24,0,0,0.0,0.0,11.04,EUR 11.0M
Jorginho,Arsenal,MF,32,0,0,0.1,0.4,11.457,EUR 11.5M
Joshua Acheampong,Chelsea,DF,18,0,0,0.2,0.0,12.50496,EUR 12.5M
Joshua King,Fulham,MF,17,0,0,0.3,0.4,16.0113,EUR 16.0M
Joshua Zirkzee,Manchester Utd,"FW,MF",23,3,1,4.8,1.5,24.068699999999996,EUR 24.1M
José Sá,Wolves,GK,31,0,0,0.0,0.2,5.8617,EUR 5.9M
Jota Silva,Nott'ham Forest,"FW,MF",24,3,1,2.1,2.9,23.287499999999998,EUR 23.3M
